name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Acanthophoenix grandis,Arecaceae,Acanthophoenix,grandis,Bosschere,tax_nov,spec.,FALSE,Ill. Hort. 42: 185. 1895 ,Ill. Hort.,1895,42: 185,1202-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1674-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1895&rft.spage=185&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/131&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/1674-2,IPNI,NA,NA,NA,NA,
Acanthosabal caespitosa,Arecaceae,Acanthosabal,caespitosa,Prosch.,tax_nov,spec.,FALSE,"Gard. Chron. ser. 3, 77: 92, figs. 35-38. 1925 ",Gard. Chron.,1925,"ser. 3, 77: 92, figs. 35-38",1224-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,1690-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/1690-2,IPNI,NA,NA,NA,NA,
Acrocomia corumbaensi,Arecaceae,Acrocomia,corumbaensi,S.A.Vianna,tax_nov,spec.,FALSE,Phytotaxa 314(1): 46. 2017 [21 Jul 2017] [epublished],Phytotaxa,2017,314(1): 46,20011462-1,FALSE,holotype IAC 53.927;isotype FTG,S.A.Vianna,73,28 Sep 2012,"Mato Grosso do Sul (Brazil West-Central, Brazil, Southern America)","Corumbá, Assentamento Antônio Maria Coelho",77176294-1,TRUE,NA,21 Jul 2017,doi:10.11646/phytotaxa.314.1.2,[epublished],www.ipni.org/n/77176294-1,IPNI,NA,NA,NA,NA,
Amylocarpus maraya-y,Arecaceae,Amylocarpus,maraya-y,Barb.Rodr.,tax_nov,spec.,FALSE,Contr. Jard. Bot. Rio de Janeiro 3: 72. 1902 ,Contr. Jard. Bot. Rio de Janeiro,1902,3: 72,3500-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,12131-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=72&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/12131-2,IPNI,NA,NA,NA,NA,
Amylocarpus settipinnatus,Arecaceae,Amylocarpus,settipinnatus,Barb.Rodr.,tax_nov,spec.,FALSE,Contr. Jard. Bot. Rio de Janeiro 3: 72. 1902 ,Contr. Jard. Bot. Rio de Janeiro,1902,3: 72,3500-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,12138-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=72&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/12138-2,IPNI,NA,NA,NA,NA,
Amylocarpus syagroiles,Arecaceae,Amylocarpus,syagroiles,Barb.Rodr.,tax_nov,spec.,FALSE,Contr. Jard. Bot. Rio de Janeiro 3: 72. 1902 ,Contr. Jard. Bot. Rio de Janeiro,1902,3: 72,3500-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,12140-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=72&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/12140-2,IPNI,NA,NA,NA,NA,
Astrocaryum kewensis,Arecaceae,Astrocaryum,kewensis,Barb.Rodr.,tax_nov,spec.,FALSE,"Sert. Palm. Brasil. 2: 70, pl. 74. 1903 ",Sert. Palm. Brasil.,1903,"2: 70, pl. 74",14377-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,25869-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/25869-2,IPNI,NA,NA,NA,NA,
Atitara philipiana,Arecaceae,Atitara,philipiana,Barb.Rodr.,tax_nov,spec.,FALSE,Contr. Jard. Bot. Rio de Janeiro 3: 76. 1902 ,Contr. Jard. Bot. Rio de Janeiro,1902,3: 76,3500-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,26199-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1902&rft.spage=76&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/26199-2,IPNI,NA,NA,NA,NA,
Attabignya minarum,Arecaceae,Attabignya,minarum,"Balick, A.B.Anderson & Med.-Costa",tax_nov,spec.,FALSE,Brittonia 39: 27. 1987 ,Brittonia,1987,39: 27,561-2,FALSE,holotype CEN;isotype NY,M.J.Balick et al.,1694,NA,"Mun. de Santa Fé: 11 km from town of Santa Fé, near stream called Logra do Rio, on Fazenda Santa María, Minas Gerais (Brazil, Southern America)",NA,319734-2,TRUE,NA,NA,[Gandhi 2 May 2000],NA,www.ipni.org/n/319734-2,IPNI,NA,NA,NA,NA,
Attalea goeldiana,Arecaceae,Attalea,goeldiana,Huber,tax_nov,spec.,FALSE,"Bull. Herb. Boissier ser. 2, 6: 268. 1906 ",Bull. Herb. Boissier,1906,"ser. 2, 6: 268",573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,26566-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/26566-2,IPNI,NA,NA,NA,NA,
