name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Alsodeia camptoneura,Violaceae,Alsodeia,camptoneura,Radlk.,tax_nov,spec.,FALSE,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 20: 186. 1890 ,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München,1890,20: 186,326-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,9862-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=186&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/125291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/9862-2,IPNI,NA,NA,NA,NA,
Alsodeia japurana,Violaceae,Alsodeia,japurana,Radlk.,tax_nov,spec.,FALSE,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 20: 182. 1890 ,Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München,1890,20: 182,326-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,9872-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=182&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/125291&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/9872-2,IPNI,NA,NA,NA,NA,
Alsodeia ramiziana,Violaceae,Alsodeia,ramiziana,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 52(Mém. 3[a]): 22. 1905 ,Bull. Soc. Bot. France,1905,52(Mém. 3[a]): 22,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,302526-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/302526-2,IPNI,NA,NA,NA,NA,
Amphirrhox grandifolia,Violaceae,Amphirrhox,grandifolia,Melch.,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 9: 59. 1924 ,Notizbl. Bot. Gart. Berlin-Dahlem,1924,9: 59,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,11608-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1924&rft.spage=59&rft.volume=9&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/11608-2,IPNI,NA,NA,NA,NA,
Amphirrhox juruana,Violaceae,Amphirrhox,juruana,Ule,tax_nov,spec.,FALSE,Verh. Bot. Vereins Prov. Brandenburg 47: 156. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,47: 156,823-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,11609-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=156&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/11609-2,IPNI,NA,NA,NA,NA,
Corynostylis albiflora,Violaceae,Corynostylis,albiflora,W.Bull ex K.Koch,tax_nov,spec.,FALSE,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten 14(20): 157. 1871 [20 May 1871] ,Wochenschr. Vereines Beförd. Gartenbaues Konigl. Preuss. Staaten,1871,14(20): 157,7877-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),Amazon River,60454905-2,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1871&rft.issue=20&rft.spage=157&rft.volume=14&rft_id=http://www.biodiversitylibrary.org/bibliography/5017&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,20 May 1871,NA,NA,www.ipni.org/n/60454905-2,IPNI,NA,NA,NA,NA,
Corynostylis palustris,Violaceae,Corynostylis,palustris,Barb.Rodr.,tax_nov,spec.,FALSE,"Vellosia 1: 4, pl. 3. 1888 ",Vellosia,1888,"1: 4, pl. 3",3884-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,66487-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1888&rft.spage=4&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/69100&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/66487-2,IPNI,NA,NA,NA,NA,
Hybanthus procumbens,Violaceae,Hybanthus,procumbens,Ule,tax_nov,spec.,FALSE,Bot. Jahrb. Syst. 42(2-3): 230. 1908 [29 Dec 1908] ,Bot. Jahrb. Syst.,1908,42(2-3): 230,553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,124975-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=230&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,29 Dec 1908,NA,NA,www.ipni.org/n/124975-2,IPNI,NA,NA,NA,NA,
Physiphora laevigata,Violaceae,Physiphora,laevigata,Sol. ex Ging.,tax_nov,spec.,FALSE,Prodr. [A. P. de Candolle] 1: 314. 1824 [mid Jan 1824] ,Prodr. [A. P. de Candolle],1824,1: 314,1051-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,282784-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/154270&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,mid Jan 1824,NA,NA,www.ipni.org/n/282784-2,IPNI,NA,NA,NA,NA,
Rinorea betancurii,Violaceae,Rinorea,betancurii,Hoyos-Gómez,tax_nov,spec.,FALSE,PhytoKeys 242: 265. 2024 [3 Jun 2024] [epublished],PhytoKeys,2024,242: 265,20011997-1,FALSE,holotype COAH 78339;isotype NY 02691382,F.Castro,10919,10 Dec 1010,"Colombia (Western South America, Southern America);Venezuela (Northern South America, Southern America);Amazonas (Brazil North, Brazil, Southern America);","Colombia: Dept. Caquetá: Mpio. de Solano, región de Araracuara, sector Chiribiquete, camino a Tepuí, 170 m",77342877-1,FALSE,NA,3 Jun 2024,"doi:10.3897/phytokeys.242.110474 Etymology: the specific epithet honours Julio Betancur, Colombian botanist and curator at the National Herbarium in Bogotá.",[epublished],www.ipni.org/n/77342877-1,IPNI,NA,NA,NA,NA,
Viola dusenii,Violaceae,Viola,dusenii,W.Becker & Sam.,tax_nov,spec.,FALSE,Repert. Spec. Nov. Regni Veg. 22: 107. 1925 ,Repert. Spec. Nov. Regni Veg.,1925,22: 107,788-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,265887-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1925&rft.spage=107&rft.volume=22&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/265887-2,IPNI,NA,NA,NA,NA,
Leonia martii,Violaceae,Leonia,martii,(Eichler) Byng & Christenh.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77184207-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77184207-1,
Anchietea exaltata,Violaceae,Anchietea,exaltata,Eichler,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:866407-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:866407-1,
Anchietea sellowiana,Violaceae,Anchietea,sellowiana,Cham. & Schltdl.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:866416-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:866416-1,
Leonia ulei,Violaceae,Leonia,ulei,(Melch.) Byng & Christenh.,NA,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/taxon/urn:lsid:ipni.org:names:77183854-1,POWO,TRUE,Plantae, <b>Location</b>: <em>Brazil</em>,urn:lsid:ipni.org:names:77183854-1,
