name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Aphelandra macedoiana,Acanthaceae,Aphelandra,macedoiana,L.Linden & Rodigas,tax_nov,spec.,"Ill. Hort. 33: 11, pl. 583. 1886 ",Ill. Hort.,1886,"33: 11, pl. 583",1202-2,NA,NA,NA,NA,Brazil (Southern America),NA,16244-2,NA,NA,www.ipni.org/n/16244-2,IPNI
Aphelandra pubescens,Acanthaceae,Aphelandra,pubescens,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 535. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 535,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,16284-2,NA,NA,www.ipni.org/n/16284-2,IPNI
Arrhostoxylon repens,Acanthaceae,Arrhostoxylon,repens,Nees,tax_nov,spec.,Fl. Bras. (Martius) 9: 60. 1847 [1 Jun 1847] ,Fl. Bras. (Martius),1847,9: 60,629-2,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,20416-2,1 Jun 1847,NA,www.ipni.org/n/20416-2,IPNI
Beloperone ceciliae,Acanthaceae,Beloperone,ceciliae,Machado,tax_nov,spec.,"Arch. Jard. Bot. Rio de Janeiro 9:[110], fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"9:[110], fig",848-2,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,31149-2,NA,NA,www.ipni.org/n/31149-2,IPNI
Beloperone organensis,Acanthaceae,Beloperone,organensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 537,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,31188-2,NA,NA,www.ipni.org/n/31188-2,IPNI
Cyrtanthera picuensis,Acanthaceae,Cyrtanthera,picuensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 538. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 538,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,75426-2,NA,NA,www.ipni.org/n/75426-2,IPNI
Dichazothece cylindracea,Acanthaceae,Dichazothece,cylindracea,Lindau,tax_nov,spec.,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 47. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 47",553-2,NA,NA,NA,NA,Brazil (Southern America),NA,79435-2,19 Jul 1898,NA,www.ipni.org/n/79435-2,IPNI
Dicliptera fluminensis,Acanthaceae,Dicliptera,fluminensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 539. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 539,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,79713-2,NA,NA,www.ipni.org/n/79713-2,IPNI
Duvernoia americana,Acanthaceae,Duvernoia,americana,Lindau,tax_nov,spec.,"Bull. Herb. Boissier ser. 2, 4: 405. 1904 ",Bull. Herb. Boissier,1904,"ser. 2, 4: 405",573-2,NA,NA,NA,NA,Brazil (Southern America),NA,86199-2,NA,NA,www.ipni.org/n/86199-2,IPNI
Duvernoia glabrata,Acanthaceae,Duvernoia,glabrata,Lindau,tax_nov,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 8: 246. 1922 ,Notizbl. Bot. Gart. Berlin-Dahlem,1922,8: 246,1019-2,NA,NA,NA,NA,Brazil (Southern America),NA,86200-2,NA,NA,www.ipni.org/n/86200-2,IPNI
Ebermaiera macahensis,Acanthaceae,Ebermaiera,macahensis,Glaz.,tax_nov,spec.,Bull. Soc. Bot. France 58(Mém. 3f): 531. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 531,578-2,NA,NA,NA,NA,Brazil (Southern America),NA,86559-2,NA,NA,www.ipni.org/n/86559-2,IPNI
Gerardia brasiliensis,Acanthaceae,Gerardia,brasiliensis,Spreng.,tax_nov,spec.,"Syst. Veg., ed. 16 [Sprengel] 2: 806. 1825 [Jan-May 1825] ","Syst. Veg., ed. 16 [Sprengel]",1825,2: 806,14620-2,NA,F.Sellow,s.n.,NA,Brazil (Southern America),NA,109354-2,Jan-May 1825,"[Gandhi; Fieldiana, Bot. 39: 61]",www.ipni.org/n/109354-2,IPNI
