name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Aphelandra macedoiana,Acanthaceae,Aphelandra,macedoiana,L.Linden & Rodigas,tax_nov,spec.,FALSE,"Ill. Hort. 33: 11, pl. 583. 1886 ",Ill. Hort.,1886,"33: 11, pl. 583",1202-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,16244-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1886&rft.spage=11&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/131&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/16244-2,IPNI,NA,NA,NA,NA,
Aphelandra pubescens,Acanthaceae,Aphelandra,pubescens,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 535. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 535,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,16284-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/16284-2,IPNI,NA,NA,NA,NA,
Arrhostoxylon repens,Acanthaceae,Arrhostoxylon,repens,Nees,tax_nov,spec.,FALSE,Fl. Bras. (Martius) 9: 60. 1847 [1 Jun 1847] ,Fl. Bras. (Martius),1847,9: 60,629-2,FALSE,NA,NA,NA,NA,"Sao Paulo (Brazil, Southern America)",NA,20416-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145788&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,1 Jun 1847,NA,NA,www.ipni.org/n/20416-2,IPNI,NA,NA,NA,NA,
Beloperone ceciliae,Acanthaceae,Beloperone,ceciliae,Machado,tax_nov,spec.,FALSE,"Arch. Jard. Bot. Rio de Janeiro 9:[110], fig. 1950 ",Arch. Jard. Bot. Rio de Janeiro,1950,"9:[110], fig",848-2,FALSE,NA,NA,NA,NA,"Mato Grosso (Brazil, Southern America)",NA,31149-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/31149-2,IPNI,NA,NA,NA,NA,
Beloperone organensis,Acanthaceae,Beloperone,organensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 537. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 537,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,31188-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/31188-2,IPNI,NA,NA,NA,NA,
Cyrtanthera picuensis,Acanthaceae,Cyrtanthera,picuensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 538. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 538,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,75426-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/75426-2,IPNI,NA,NA,NA,NA,
Dichazothece cylindracea,Acanthaceae,Dichazothece,cylindracea,Lindau,tax_nov,spec.,FALSE,"Bot. Jahrb. Syst. 25(3, Beibl. 60): 47. 1898 [19 Jul 1898] ",Bot. Jahrb. Syst.,1898,"25(3, Beibl. 60): 47",553-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,79435-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/209648&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,19 Jul 1898,NA,NA,www.ipni.org/n/79435-2,IPNI,NA,NA,NA,NA,
Dicliptera fluminensis,Acanthaceae,Dicliptera,fluminensis,Glaz.,tax_nov,spec.,FALSE,Bull. Soc. Bot. France 58(Mém. 3f): 539. 1911 ,Bull. Soc. Bot. France,1911,58(Mém. 3f): 539,578-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,79713-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/79713-2,IPNI,NA,NA,NA,NA,
Duvernoia americana,Acanthaceae,Duvernoia,americana,Lindau,tax_nov,spec.,FALSE,"Bull. Herb. Boissier ser. 2, 4: 405. 1904 ",Bull. Herb. Boissier,1904,"ser. 2, 4: 405",573-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,86199-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/86199-2,IPNI,NA,NA,NA,NA,
Duvernoia glabrata,Acanthaceae,Duvernoia,glabrata,Lindau,tax_nov,spec.,FALSE,Notizbl. Bot. Gart. Berlin-Dahlem 8: 246. 1922 ,Notizbl. Bot. Gart. Berlin-Dahlem,1922,8: 246,1019-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,86200-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1922&rft.spage=246&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/86200-2,IPNI,NA,NA,NA,NA,
