name,family,genus,species,authors,citationType,rank,hybrid,reference,publication,publicationYear,referenceCollation,publicationId,suppressed,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,inPowo,bhlLink,publicationYearNote,remarks,referenceRemarks,url,source,accepted,kingdom,snippet,fqId,images
Abuta alto-macahensis,Menispermaceae,Abuta,alto-macahensis,Feliz & J.M.A.Braga,tax_nov,spec.,FALSE,Phytotaxa 556(2): 194. 2022 [4 Aug 2022] [epublished],Phytotaxa,2022,556(2): 194,20011462-1,FALSE,holotype RB RB827493 [barcode 01457839];isotype NY;isotype R,R.C.Forzza et al.,2899,4 Mar 2004,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)","Macaé, estrada Frade - Tapera, próximo ao desvio do Pico do Frade",77303166-1,TRUE,NA,4 Aug 2022,doi:10.11646/phytotaxa.556.2.9 Etymology: 'The name refers to the locality where the species was found...we chose to keep the name originally suggested by Rupert C. Barneby...'.,[epublished],www.ipni.org/n/77303166-1,IPNI,NA,NA,NA,NA,
Abuta bullata,Menispermaceae,Abuta,bullata,Moldenke,tax_nov,spec.,FALSE,Brittonia 3: 52. 1938 ,Brittonia,1938,3: 52,561-2,FALSE,NA,NA,NA,NA,Brazil (Amazonas) &amp; British Guiana,NA,136-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/136-2,IPNI,NA,NA,NA,NA,
Abuta duckei,Menispermaceae,Abuta,duckei,Diels,tax_nov,spec.,FALSE,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 352. 1909 ,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,5: 352,4221-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,142-2,FALSE,NA,NA,NA,NA,www.ipni.org/n/142-2,IPNI,NA,NA,NA,NA,
Abuta froesii,Menispermaceae,Abuta,froesii,Krukoff & Moldenke,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 70: 404. 1943 ,Bull. Torrey Bot. Club,1943,70: 404,586-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,146-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=404&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/146-2,IPNI,NA,NA,NA,NA,
Abuta limaciifolia,Menispermaceae,Abuta,limaciifolia,Diels,tax_nov,spec.,FALSE,"Pflanzenr. (Engler) IV, 94(Heft 46): 194. 1910 ",Pflanzenr. (Engler),1910,"IV, 94(Heft 46): 194",3295-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,148-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/20830809&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/148-2,IPNI,NA,NA,NA,NA,
Abuta macrocarpa,Menispermaceae,Abuta,macrocarpa,Moldenke,tax_nov,spec.,FALSE,Brittonia 3: 51. 1938 ,Brittonia,1938,3: 51,561-2,FALSE,NA,NA,NA,NA,British Guiana &amp; Brazil (Amazonas),NA,150-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/150-2,IPNI,NA,NA,NA,NA,
Abuta manausensis,Menispermaceae,Abuta,manausensis,Krukoff & Barneby,tax_nov,spec.,FALSE,Mem. New York Bot. Gard. 20(2): 20. 1970 ,Mem. New York Bot. Gard.,1970,20(2): 20,719-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,151-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1970&rft.issue=2&rft.spage=20&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/50489&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/151-2,IPNI,NA,NA,NA,NA,
Abuta negroensis,Menispermaceae,Abuta,negroensis,Krukoff & Moldenke,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 70: 403. 1943 ,Bull. Torrey Bot. Club,1943,70: 403,586-2,FALSE,NA,NA,NA,NA,Brazil (Southern America),NA,153-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=403&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/153-2,IPNI,NA,NA,NA,NA,
Anomospermum dielsianum,Menispermaceae,Anomospermum,dielsianum,Moldenke,tax_nov,spec.,FALSE,Brittonia 3: 37. 1938 ,Brittonia,1938,3: 37,561-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,14461-2,TRUE,NA,NA,NA,NA,www.ipni.org/n/14461-2,IPNI,NA,NA,NA,NA,
Anomospermum hirsutum,Menispermaceae,Anomospermum,hirsutum,Krukoff & Moldenke,tax_nov,spec.,FALSE,Bull. Torrey Bot. Club 70: 401. 1943 ,Bull. Torrey Bot. Club,1943,70: 401,586-2,FALSE,NA,NA,NA,NA,"Amazonas (Brazil, Southern America)",NA,14465-2,TRUE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1943&rft.spage=401&rft.volume=70&rft_id=http://www.biodiversitylibrary.org/bibliography/340&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,www.ipni.org/n/14465-2,IPNI,NA,NA,NA,NA,
